unix,date,symbol,open,high,low,close,Volume CRO,Volume USD
1650236400,4/17/2022 23:00,CRO/USD,0.4188,0.4188,0.4188,0.4188,20,8.376
1650211200,4/17/2022 16:00,CRO/USD,0.416,0.419,0.416,0.419,260.396491,109.1061297
1650186000,4/17/2022 9:00,CRO/USD,0.412,0.416,0.412,0.416,347.95673,144.7499997
1650135600,4/16/2022 19:00,CRO/USD,0.4045,0.4045,0.4045,0.4045,105,42.4725
1650124800,4/16/2022 16:00,CRO/USD,0.4187,0.4187,0.4187,0.4187,23.811798,9.969999823
1650117600,4/16/2022 14:00,CRO/USD,0.4198,0.4198,0.4198,0.4198,1229.299666,516.0599998
1650096000,4/16/2022 8:00,CRO/USD,0.4198,0.4198,0.4198,0.4198,457.142857,191.9085714
1650081600,4/16/2022 4:00,CRO/USD,0.4189,0.4189,0.4189,0.4189,145.3,60.86617
1650074400,4/16/2022 2:00,CRO/USD,0.4189,0.4189,0.4189,0.4189,154.762472,64.82999952
1650060000,4/15/2022 22:00,CRO/USD,0.3951,0.3951,0.3951,0.3951,625,246.9375
1650056400,4/15/2022 21:00,CRO/USD,0.3842,0.3842,0.3842,0.3842,378.588346,145.4536425
1650049200,4/15/2022 19:00,CRO/USD,0.4198,0.4198,0.4198,0.4198,614.316341,257.89
1650038400,4/15/2022 16:00,CRO/USD,0.41,0.41,0.41,0.41,630,258.3
1650031200,4/15/2022 14:00,CRO/USD,0.427,0.427,0.427,0.427,810.796252,346.2099996
1650024000,4/15/2022 12:00,CRO/USD,0.4061,0.4061,0.4061,0.4061,43.825722,17.7976257
1650009600,4/15/2022 8:00,CRO/USD,0.4255,0.4255,0.42,0.42,524.580564,220.3238369
1649991600,4/15/2022 3:00,CRO/USD,0.4268,0.4268,0.4268,0.4268,233.716026,99.7499999
1649984400,4/15/2022 1:00,CRO/USD,0.3861,0.3861,0.3861,0.3861,187.161682,72.26312542
1649970000,4/14/2022 21:00,CRO/USD,0.4076,0.4222,0.4076,0.4222,906.494346,382.7219129
1649966400,4/14/2022 20:00,CRO/USD,0.4192,0.4192,0.4192,0.4192,100,41.92
1649959200,4/14/2022 18:00,CRO/USD,0.4086,0.4086,0.4086,0.4086,100,40.86
1649941200,4/14/2022 13:00,CRO/USD,0.4254,0.4254,0.4254,0.4254,38.128819,16.2199996
1649905200,4/14/2022 3:00,CRO/USD,0.4301,0.4301,0.4301,0.4301,34.829,14.9799529
1649876400,4/13/2022 19:00,CRO/USD,0.4233,0.4233,0.4233,0.4233,215.215077,91.10054209
1649862000,4/13/2022 15:00,CRO/USD,0.4214,0.4363,0.4214,0.4363,2397.506713,1046.032179
1649858400,4/13/2022 14:00,CRO/USD,0.4047,0.4047,0.4047,0.4047,40.430674,16.36229377
1649847600,4/13/2022 11:00,CRO/USD,0.4292,0.4292,0.4292,0.4292,43.825722,18.80999988
1649840400,4/13/2022 9:00,CRO/USD,0.4184,0.4184,0.4184,0.4184,267.733622,112.0197474
1649836800,4/13/2022 8:00,CRO/USD,0.4174,0.4174,0.4174,0.4174,1000,417.4
1649829600,4/13/2022 6:00,CRO/USD,0.4208,0.4208,0.4208,0.4208,25.87519,10.88827995
1649815200,4/13/2022 2:00,CRO/USD,0.4553,0.4553,0.4553,0.4553,884.449813,402.6899999
1649811600,4/13/2022 1:00,CRO/USD,0.426,0.4261,0.426,0.4261,140.47076,59.85459084
1649804400,4/12/2022 23:00,CRO/USD,0.4232,0.4232,0.4232,0.4232,41.70605,17.65000036
1649800800,4/12/2022 22:00,CRO/USD,0.4168,0.4331,0.4168,0.4331,6132.059502,2655.79497
1649797200,4/12/2022 21:00,CRO/USD,0.4576,0.4589,0.4576,0.4576,78063.24487,35721.74085
1649786400,4/12/2022 18:00,CRO/USD,0.3988,0.4583,0.3988,0.4583,262.863572,120.470375
1649772000,4/12/2022 14:00,CRO/USD,0.4243,0.4243,0.4243,0.4243,190.8,80.95644
1649768400,4/12/2022 13:00,CRO/USD,0.4243,0.4243,0.4243,0.4243,368.428604,156.3242567
