Blockno,DateTime (UTC),Parent Transaction Hash,Status,Type,From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"","","0x5b603a8ac871a9ec39712e7abcf596847e7a8a90d9a42f9653969961303d18e2","Success","call","0x3451b6b219478037a1ac572706627fc2bda1e812","","0xb01f8f528702d411d24c9bb8cc0e2fff779ec013","","0.003441797113739473 ETH","$13.48"
"","","0x5b603a8ac871a9ec39712e7abcf596847e7a8a90d9a42f9653969961303d18e2","Success","call","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0x3451b6b219478037a1ac572706627fc2bda1e812","","0.106506543912116278 ETH","$417.10"
"","","0xcb8ac088762d06ae8853cd135264eb8ed94f22a41fa6841aebfebe8f501e9a88","Success","call","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0x53b772bb5c75ef1fecf573254a8c7a4f773cd347","","0.11967407417958085 ETH","$468.66"
"","","0x6c08fb144fd49c3184a718a8533e6f74ad904c8079cbec550826e5091dfe6f46","Success","call","0xf2614a233c7c3e7f08b1f887ba133a13f1eb2c55","","0x072a0bc1956bdcef6fd058177341b0acfde838c7","","0.925692958049629169 ETH","$3,625.18"
"","","0x6c08fb144fd49c3184a718a8533e6f74ad904c8079cbec550826e5091dfe6f46","Success","call","0xf2614a233c7c3e7f08b1f887ba133a13f1eb2c55","","0xca226bd9c754f1283123d32b2a7cf62a722f8ada","","0.002250262309370574 ETH","$8.81"
"","","0x6c08fb144fd49c3184a718a8533e6f74ad904c8079cbec550826e5091dfe6f46","Success","call","0xf2614a233c7c3e7f08b1f887ba133a13f1eb2c55","","0xf2614a233c7c3e7f08b1f887ba133a13f1eb2c55","","0.927943220358999743 ETH","$3,633.99"
"","","0x6c08fb144fd49c3184a718a8533e6f74ad904c8079cbec550826e5091dfe6f46","Success","call","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0xf2614a233c7c3e7f08b1f887ba133a13f1eb2c55","","0.927943220358999743 ETH","$3,633.99"
"","","0x235f1b2acd34d46ea3511ddc3f128f7978401f67011badf511324efa640556e6","Success","call","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","Uniswap: Universal Router","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0.22 ETH","$861.56"
"","","0x349929d734bad4fade770b9cc6ac458e7cbe2e80519bf03c15dfd76fe7a45f6e","Success","call","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","Uniswap: Universal Router","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0.2 ETH","$783.24"
"","","0x14e44a46ab5000ed85540f3f5dc6dcb27fb60fef1a330f8ea69e2b02434e5716","Error occured during Contract Execution","call","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","Uniswap: Universal Router","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","0.257148276354293237 ETH","$1,007.04"
