unix,date,symbol,open,high,low,close,Volume BTT,Volume USD
1638828000,12/6/2021 22:00,BTT/USD,0.0030677,0.0033,0.0030677,0.0032916,3839943.443,12639.55784
1638824400,12/6/2021 21:00,BTT/USD,0.0030735,0.003153,0.0030558,0.0030642,1993380.036,6108.115107
1638820800,12/6/2021 20:00,BTT/USD,0.0030627,0.0031958,0.003015,0.0030711,5191744.807,15944.36748
1638817200,12/6/2021 19:00,BTT/USD,0.0029438,0.0031462,0.0029022,0.0030619,5488867.086,16806.36213
1638813600,12/6/2021 18:00,BTT/USD,0.002869,0.0029657,0.0028351,0.0029471,4402124.456,12973.50099
1638810000,12/6/2021 17:00,BTT/USD,0.0028465,0.0029143,0.0028215,0.0028734,2207468.753,6342.940715
1638806400,12/6/2021 16:00,BTT/USD,0.0028118,0.0028854,0.0028118,0.002843,2944116.49,8370.12318
1638802800,12/6/2021 15:00,BTT/USD,0.0028971,0.0029618,0.0028093,0.0028105,3327362.752,9351.553014
1638799200,12/6/2021 14:00,BTT/USD,0.0030262,0.0030763,0.0028734,0.0028929,4290762.671,12412.74733
1638795600,12/6/2021 13:00,BTT/USD,0.0033323,0.0034615,0.0030202,0.0030202,19914136.35,60144.6746
1638792000,12/6/2021 12:00,BTT/USD,0.0024048,0.0033333,0.0024048,0.0033316,32902806.67,109618.9907
1638788400,12/6/2021 11:00,BTT/USD,0.0023592,0.0024074,0.0023384,0.0024039,799530.8283,1921.992158
1638784800,12/6/2021 10:00,BTT/USD,0.0023745,0.0024047,0.0023451,0.002362,720582.6475,1702.016213
1638781200,12/6/2021 9:00,BTT/USD,0.0024195,0.0024195,0.0023575,0.0023709,640577.5963,1518.745423
1638777600,12/6/2021 8:00,BTT/USD,0.0024122,0.002449,0.002389,0.0024223,676278.7184,1638.14994
1638774000,12/6/2021 7:00,BTT/USD,0.0024247,0.0024247,0.0023951,0.0024094,744825.3843,1794.582281
1638770400,12/6/2021 6:00,BTT/USD,0.0024474,0.0024579,0.0024275,0.0024275,257708.9871,625.5885662
1638766800,12/6/2021 5:00,BTT/USD,0.002471,0.002471,0.0024468,0.0024468,1120595.428,2741.872893
1638763200,12/6/2021 4:00,BTT/USD,0.0024599,0.0024775,0.0024535,0.00247,1308949.334,3233.104855
1638759600,12/6/2021 3:00,BTT/USD,0.0024543,0.0024571,0.0024543,0.0024571,26719.92726,65.65353328
1638756000,12/6/2021 2:00,BTT/USD,0.0024403,0.0024515,0.0024403,0.0024515,66933.27392,164.086921
1638752400,12/6/2021 1:00,BTT/USD,0.0024068,0.0024395,0.0024068,0.0024395,270387.0868,659.6092983
1638748800,12/6/2021 0:00,BTT/USD,0.0024577,0.0024577,0.0023909,0.0024041,660021.6849,1586.758133
1638745200,12/5/2021 23:00,BTT/USD,0.0024593,0.0024737,0.0024593,0.0024605,146017.8818,359.276998
1638741600,12/5/2021 22:00,BTT/USD,0.0024568,0.0024603,0.0024386,0.0024567,957145.9327,2351.420413
1638738000,12/5/2021 21:00,BTT/USD,0.0024719,0.0024756,0.0024151,0.0024541,2744708.721,6735.789673
1638734400,12/5/2021 20:00,BTT/USD,0.0024534,0.0024704,0.0024477,0.002469,571567.1598,1411.199318
1638730800,12/5/2021 19:00,BTT/USD,0.0024762,0.0024762,0.0024318,0.0024504,352089.7983,862.7608416
1638727200,12/5/2021 18:00,BTT/USD,0.0024806,0.0024806,0.0024667,0.0024773,459185.6151,1137.540524
1638723600,12/5/2021 17:00,BTT/USD,0.0024505,0.0024827,0.0024505,0.0024789,1010228.607,2504.255693
1638720000,12/5/2021 16:00,BTT/USD,0.0024268,0.0024656,0.0024268,0.0024482,986874.8994,2416.067129
1638716400,12/5/2021 15:00,BTT/USD,0.0025049,0.0025253,0.0023818,0.0024241,2897642.954,7024.176285
1638712800,12/5/2021 14:00,BTT/USD,0.0025704,0.0025704,0.0025043,0.0025043,2702514.251,6767.90644
1638709200,12/5/2021 13:00,BTT/USD,0.0025736,0.0025736,0.0025646,0.0025725,100732.1704,259.1335084
1638705600,12/5/2021 12:00,BTT/USD,0.0025619,0.0025768,0.002558,0.0025768,115477.0825,297.5613461
1638702000,12/5/2021 11:00,BTT/USD,0.0025727,0.0025727,0.0025609,0.0025619,127650.7779,327.0285278
1638698400,12/5/2021 10:00,BTT/USD,0.0025626,0.0025717,0.0025605,0.0025717,730987.012,1879.879299
1638694800,12/5/2021 9:00,BTT/USD,0.0025976,0.0025976,0.0025598,0.0025598,512619.6062,1312.203668
1638691200,12/5/2021 8:00,BTT/USD,0.0025976,0.0026,0.0025946,0.0026,111130,288.938
1638687600,12/5/2021 7:00,BTT/USD,0.0026,0.0026,0.0025963,0.0025963,5563699.1,14445.03197
1638684000,12/5/2021 6:00,BTT/USD,0.0026,0.0026,0.0025971,0.0026,469254.5835,1220.061917
1638680400,12/5/2021 5:00,BTT/USD,0.0025896,0.0026,0.0025896,0.0026,444028.6043,1154.474371
1638676800,12/5/2021 4:00,BTT/USD,0.0025999,0.0025999,0.0025776,0.0025895,566107.5469,1465.935493
1638673200,12/5/2021 3:00,BTT/USD,0.0025862,0.0026,0.0025703,0.0026,1122940.304,2919.644791
1638669600,12/5/2021 2:00,BTT/USD,0.0026006,0.0026006,0.002585,0.0025892,244223.2128,632.3427427
1638666000,12/5/2021 1:00,BTT/USD,0.0025816,0.002605,0.0025816,0.0026007,748874.8296,1947.598769
1638662400,12/5/2021 0:00,BTT/USD,0.002603,0.0026637,0.0025481,0.0025827,1771637.836,4575.609038
1638658800,12/4/2021 23:00,BTT/USD,0.0025941,0.0026055,0.0025903,0.0026011,684230.8736,1779.752925
1638655200,12/4/2021 22:00,BTT/USD,0.0025612,0.0025957,0.0025612,0.0025936,192606.8548,499.5451385
1638651600,12/4/2021 21:00,BTT/USD,0.0025921,0.0025921,0.0025583,0.002559,590834.4183,1511.945276
1638648000,12/4/2021 20:00,BTT/USD,0.0026015,0.0026015,0.0025951,0.0025951,229415.2416,595.3554936
1638644400,12/4/2021 19:00,BTT/USD,0.0025817,0.0026206,0.0025626,0.0026045,1085868.959,2828.145703
1638640800,12/4/2021 18:00,BTT/USD,0.0025545,0.0025812,0.0025545,0.0025801,210883.3486,544.1001277
1638637200,12/4/2021 17:00,BTT/USD,0.0025337,0.0025696,0.0025337,0.0025543,411119.9873,1050.123784
1638633600,12/4/2021 16:00,BTT/USD,0.0025522,0.0025657,0.0025339,0.0025372,756216.2877,1918.671965
1638630000,12/4/2021 15:00,BTT/USD,0.0025206,0.0025653,0.0025206,0.002552,892128.4284,2276.711749
1638626400,12/4/2021 14:00,BTT/USD,0.0024762,0.0025278,0.0024762,0.0025177,1821462.036,4585.894967
1638622800,12/4/2021 13:00,BTT/USD,0.002445,0.0024826,0.0024296,0.0024734,4041189.059,9995.477018
1638619200,12/4/2021 12:00,BTT/USD,0.0024284,0.0024834,0.0024284,0.0024444,1130797.039,2764.120283
1638615600,12/4/2021 11:00,BTT/USD,0.0024618,0.0024618,0.0023944,0.0024256,1156840.256,2806.031725
1638612000,12/4/2021 10:00,BTT/USD,0.0024684,0.00247,0.0024183,0.0024634,2146135.401,5286.789946
1638608400,12/4/2021 9:00,BTT/USD,0.0024594,0.0024927,0.0024547,0.0024692,2676245.373,6608.185076
1638604800,12/4/2021 8:00,BTT/USD,0.0024337,0.0024826,0.0024337,0.0024591,2066296.033,5081.228575
1638601200,12/4/2021 7:00,BTT/USD,0.0024166,0.0025408,0.0023807,0.0024347,5975168.411,14547.74253
1638597600,12/4/2021 6:00,BTT/USD,0.002362,0.0025494,0.002362,0.002416,10101729.54,24405.77857
1638594000,12/4/2021 5:00,BTT/USD,0.0026263,0.0026482,0.002101,0.002362,16089013.77,38002.25052
1638590400,12/4/2021 4:00,BTT/USD,0.0028123,0.0028328,0.0026068,0.0026263,3347343.218,8791.127493
1638586800,12/4/2021 3:00,BTT/USD,0.0029008,0.0029008,0.0028049,0.0028095,2261642.202,6354.083766
1638583200,12/4/2021 2:00,BTT/USD,0.0028973,0.0029055,0.002885,0.0029055,482462.8725,1401.795876
1638579600,12/4/2021 1:00,BTT/USD,0.0028998,0.0029127,0.0028775,0.0028946,973007.9187,2816.468722
1638576000,12/4/2021 0:00,BTT/USD,0.0029722,0.0029727,0.0028971,0.0029011,728635.2954,2113.843856
1638572400,12/3/2021 23:00,BTT/USD,0.0029661,0.0029735,0.0029661,0.0029734,53599.44201,159.3725809
1638568800,12/3/2021 22:00,BTT/USD,0.0030007,0.0030007,0.0029649,0.0029654,1220596.358,3619.556439
1638565200,12/3/2021 21:00,BTT/USD,0.0029875,0.0030045,0.0029875,0.0030045,206016.9792,618.9780139
1638561600,12/3/2021 20:00,BTT/USD,0.0030014,0.0030014,0.0029158,0.0029859,1062107.753,3171.34754
1638558000,12/3/2021 19:00,BTT/USD,0.0030401,0.0030437,0.0030054,0.0030054,620903.758,1866.064154
1638554400,12/3/2021 18:00,BTT/USD,0.0030515,0.0030583,0.003043,0.003043,330928.1643,1007.014404
1638550800,12/3/2021 17:00,BTT/USD,0.0030467,0.0030629,0.0030429,0.0030563,294563.7263,900.2751167
1638547200,12/3/2021 16:00,BTT/USD,0.0031113,0.0031113,0.0030319,0.0030428,810479.6566,2466.127499
1638543600,12/3/2021 15:00,BTT/USD,0.0031186,0.0031384,0.0031126,0.0031126,220484.0181,686.2785548
1638540000,12/3/2021 14:00,BTT/USD,0.0031733,0.0031733,0.0031146,0.0031146,276891.0973,862.4050115
1638536400,12/3/2021 13:00,BTT/USD,0.0031549,0.003199,0.0031549,0.0031769,627440.1989,1993.314768
1638532800,12/3/2021 12:00,BTT/USD,0.0031692,0.0031692,0.0031418,0.0031562,364801.1562,1151.385409
1638529200,12/3/2021 11:00,BTT/USD,0.003166,0.0031729,0.003166,0.0031684,392498.6101,1243.592596
1638525600,12/3/2021 10:00,BTT/USD,0.0031575,0.0031802,0.0031575,0.0031631,1149409.396,3635.696861
1638522000,12/3/2021 9:00,BTT/USD,0.0031403,0.0031542,0.0031364,0.0031542,181053.3678,571.0785327
1638518400,12/3/2021 8:00,BTT/USD,0.0031362,0.0031434,0.0031362,0.0031434,33008.08616,103.757618
1638514800,12/3/2021 7:00,BTT/USD,0.0031417,0.0031445,0.0031208,0.0031348,537213.5449,1684.057021
1638511200,12/3/2021 6:00,BTT/USD,0.00314,0.0031402,0.0031368,0.0031402,133730.5851,419.9407833
1638507600,12/3/2021 5:00,BTT/USD,0.0031416,0.0031416,0.00314,0.003141,107003.4858,336.097949
1638504000,12/3/2021 4:00,BTT/USD,0.003129,0.0031424,0.003129,0.00314,175420.8755,550.821549
1638496800,12/3/2021 2:00,BTT/USD,0.0031391,0.0031391,0.0031253,0.0031253,49967.15882,156.1623615
1638493200,12/3/2021 1:00,BTT/USD,0.0031489,0.0031489,0.0031404,0.0031404,74418.14739,233.7027501
1638489600,12/3/2021 0:00,BTT/USD,0.0031477,0.0031499,0.0031452,0.0031452,133614.0466,420.2428992
